time,level,activity,status
1623836199.858817,INFO,default,running
1623836212.584707,INFO,default,finished
1623836212.58814,INFO,mood board,running
1623836267.719009,INFO,story,unknown
1623836267.719538,INFO,mood board,finished
1623836267.72125,INFO,story,running
1623836475.020656,INFO,story,interrupted from Pepper tablet
1623836475.021594,INFO,mood board,running
1623836493.802284,INFO,mood board,finished
1623836493.803924,INFO,default,running
1623836506.945457,INFO,default,finished
1623836506.947453,INFO,mood board,running
1623836554.37809,INFO,fun dances,unknown
1623836554.378396,INFO,mood board,finished
1623836554.379904,INFO,fun dances,running
1623836576.968679,INFO,fun dances,finished
1623836576.96974,INFO,mood board,running
1623836612.947073,INFO,fun dances,unknown
1623836612.94736,INFO,mood board,finished
1623836612.948866,INFO,fun dances,running
1623836636.496794,INFO,fun dances,finished
1623836636.498022,INFO,mood board,running
1623836650.621305,INFO,mood board,finished
1623836650.62291,INFO,default,running
1623836663.566026,INFO,default,finished
1623836663.568046,INFO,mood board,running
1623836712.17802,INFO,fun dances,mood_red
1623836712.178417,INFO,mood board,finished
1623836712.180315,INFO,fun dances,running
1623836811.898719,INFO,fun dances,finished
1623836811.900278,INFO,mood board,running
1623836813.896263,INFO,mood board,interrupted - no one engaged
1623836813.897118,INFO,default,running
1623836816.784475,INFO,default,interrupted from ctrl tablet
1623836816.785536,INFO,default,running
1623836821.392622,INFO,default,interrupted from ctrl tablet
1623836821.393635,INFO,default,running
1623836892.677834,INFO,default,finished
1623836892.680837,INFO,mood board,running
1623836956.398773,INFO,listening,mood_green
1623836956.399143,INFO,mood board,finished
1623836956.400519,INFO,listening,running
1623836985.162983,INFO,listening,interrupted from Pepper tablet
1623836985.164966,INFO,mood board,running
1623837007.039537,INFO,mood board,interrupted - no one engaged
1623837007.040368,INFO,default,running
1623837007.394493,INFO,default,finished
1623837007.397597,INFO,mood board,running
1623837009.500967,INFO,mood board,interrupted - no one engaged
1623837009.502053,INFO,default,running
1623837071.778049,INFO,default,finished
1623837071.783475,INFO,mood board,running
1623837108.065487,INFO,cuddle,mood_red
1623837108.066011,INFO,mood board,finished
1623837108.067689,INFO,cuddle,running
1623837123.495017,INFO,cuddle,finished
1623837123.49601,INFO,mood board,running
1623837136.917997,INFO,listening,mood_red
1623837136.918277,INFO,mood board,finished
1623837136.920403,INFO,listening,running
1623837153.186988,INFO,listening,interrupted from Pepper tablet
1623837153.187896,INFO,mood board,running
1623837169.32171,INFO,relaxing sounds,mood_red
1623837169.322012,INFO,mood board,finished
1623837169.323942,INFO,relaxing sounds,running
1623837185.611879,INFO,relaxing sounds,finished
1623837185.612914,INFO,mood board,running
1623837202.283015,INFO,calm music,mood_red
1623837202.283291,INFO,mood board,finished
1623837202.284716,INFO,calm music,running
1623837232.748253,INFO,calm music,interrupted - no one engaged
1623837233.842325,INFO,default,running
1623837472.033968,INFO,default,finished
1623837472.036761,INFO,mood board,running
1623837513.478467,INFO,relaxing sounds,mood_yellow
1623837513.479045,INFO,mood board,finished
1623837513.480588,INFO,relaxing sounds,running
1623837571.75435,INFO,relaxing sounds,finished
1623837571.755478,INFO,mood board,running
1623837657.534038,INFO,mood board,interrupted - no one engaged
1623837657.534315,INFO,default,running
1623837657.534707,INFO,default,interrupted from ctrl tablet
1623837657.534936,INFO,default,running
1623837657.586305,INFO,default,interrupted from ctrl tablet
1623837657.587523,INFO,default,running
1623838060.921117,INFO,default,finished
1623838060.923485,INFO,mood board,running
1623838158.223646,INFO,fun dances,mood_green
1623838158.223931,INFO,mood board,finished
1623838158.225441,INFO,fun dances,running
1623838170.985474,INFO,fun dances,finished
1623838170.98653,INFO,mood board,running
1623838187.004008,INFO,jokes,mood_green
1623838187.004255,INFO,mood board,finished
1623838187.005442,INFO,jokes,running
1623838217.481973,INFO,jokes,finished
1623838217.483081,INFO,mood board,running
1623838268.476543,INFO,calm music,mood_green
1623838268.47683,INFO,mood board,finished
1623838268.478266,INFO,calm music,running
1623838274.598945,INFO,calm music,interrupted - no one engaged
1623838280.432121,INFO,default,running
1623838282.799326,INFO,default,interrupted from ctrl tablet
1623838282.800164,INFO,default,running
1623838506.56694,INFO,default,finished
1623838506.56946,INFO,mood board,running
1623838539.359471,INFO,jokes,mood_green
1623838539.359728,INFO,mood board,finished
1623838539.361076,INFO,jokes,running
1623838573.641464,INFO,jokes,interrupted - no one engaged
1623838573.642824,INFO,default,running
1623838573.694623,INFO,default,finished
1623838573.696109,INFO,mood board,running
1623838582.614456,INFO,mood board,interrupted from ctrl tablet
1623838582.615287,INFO,default,running
1623838582.616428,INFO,default,interrupted from ctrl tablet
1623838582.617062,INFO,default,running
1623838584.748206,INFO,default,interrupted - no one engaged
1623838584.749039,INFO,default,running
1623838587.231349,INFO,default,interrupted from ctrl tablet
1623838587.23218,INFO,default,running
1623838622.185526,INFO,default,finished
1623838622.188386,INFO,mood board,running
1623838666.697981,INFO,fun dances,mood_green
1623838666.698288,INFO,mood board,finished
1623838666.699742,INFO,fun dances,running
1623838676.072497,INFO,fun dances,interrupted from ctrl tablet
1623838676.34784,INFO,default,running
1623838678.627824,INFO,default,interrupted - no one engaged
1623838678.628704,INFO,default,running
1623838832.132353,INFO,mood board,running
1623838834.227464,INFO,default,running
1623838834.278989,INFO,mood board,running
1623838884.061868,INFO,cuddle,mood_yellow
1623838884.061974,INFO,mood board,finished
1623838884.062419,INFO,cuddle,running
1623838899.960571,INFO,cuddle,finished
1623838899.961632,INFO,mood board,running
1623838989.367941,INFO,calm music,mood_yellow
1623838989.368252,INFO,mood board,finished
1623838989.369689,INFO,calm music,running
1623839102.366469,INFO,calm music,finished
1623839102.367524,INFO,mood board,running
1623839135.272187,INFO,calm music,mood_yellow
1623839135.272507,INFO,mood board,finished
1623839135.273938,INFO,calm music,running
1623839248.402483,INFO,calm music,finished
1623839248.403558,INFO,mood board,running
1623839266.088218,INFO,mood board,finished
1623839266.091098,INFO,default,running
1623839327.238539,INFO,default,interrupted - no one engaged
1623839327.239491,INFO,default,running
1623839485.613995,INFO,default,finished
1623839485.616685,INFO,mood board,running
1623839553.757324,INFO,mood board,interrupted - no one engaged
1623839553.758028,INFO,default,running
1623839553.809764,INFO,default,interrupted from ctrl tablet
1623839553.810674,INFO,default,running
1623839557.557723,INFO,default,interrupted from ctrl tablet
1623839557.558741,INFO,default,running
1623839557.560015,INFO,default,interrupted from ctrl tablet
1623839557.560645,INFO,default,running
1623839561.240785,INFO,default,interrupted from ctrl tablet
1623839561.241619,INFO,default,running
1623839561.242926,INFO,default,interrupted from ctrl tablet
1623839561.243632,INFO,default,running
1623839716.747493,INFO,default,finished
1623839716.750738,INFO,mood board,running
1623839737.087864,INFO,jokes,mood_green
1623839737.088479,INFO,mood board,finished
1623839737.090412,INFO,jokes,running
1623839787.846944,INFO,jokes,finished
1623839787.847997,INFO,mood board,running
1623839801.322149,INFO,mood board,finished
1623839801.324104,INFO,default,running
1623839804.782292,INFO,default,interrupted - no one engaged
1623839804.783207,INFO,default,running
1623839899.617031,INFO,default,finished
1623839899.619493,INFO,mood board,running
1623839919.293644,INFO,relaxing sounds,mood_red
1623839919.293949,INFO,mood board,finished
1623839919.295424,INFO,relaxing sounds,running
1623840120.340393,INFO,default,running
1623840140.443678,INFO,mood board,running
1623840198.791478,INFO,relaxing sounds,mood_green
1623840198.791978,INFO,mood board,finished
1623840198.793548,INFO,relaxing sounds,running
1623840209.1804,INFO,relaxing sounds,interrupted from Pepper tablet
1623840209.956225,INFO,mood board,running
1623840260.269352,INFO,fun dances,mood_green
1623840260.269793,INFO,mood board,finished
1623840260.271353,INFO,fun dances,running
1623840317.117121,INFO,fun dances,finished
1623840317.118349,INFO,mood board,running
